Reviewer,Review,Review Score,Review Like,Review date
Platypuschow,"The Intern: Exceeded my expectations So I had no interest in The Intern, at all. The only reason I ended up watching it was because I was cooking in the Caribbean and needed a time out in a beautifully air conditioned room.

Now I like Hathaway, I think she's a competent actress but I very very rarely get to see her in anything as she is a very niche actress and only tends to do the kind of movies I go out of my way to avoid.

With her and DeNiro I expected at least strong performances and I got them and a lot more on top. The ludicrous plot plays out better than you'd expect, it turns into something beautiful and heartfelt.

The Intern is undeniably a sweet movie and it has substance but sadly it also has a number of overwhelming flaws.

Now Nancy Meyers is arguably the ""Chick flick"" queen and therefore I haven't seen many of her films. Based on this despite it being a competent little film I don't think I'll be rushing to see anymore.

Though full of emotional and thought provoking moments it simply has too much that plays against it and a finale that I had to see with my own eyes to believe.

Passable, but I'm not the demographic.

The Good:

Heartfelt

Well made

The Bad:

Questionable finale

Plenty of schmultz

Things I Learnt From This Movie:

I will never understand why so many react like that to infidelity, leave immediatly you silly girls!", 6/10,"12 out of 16 found this helpful. Was this review helpful? Sign in to vote.
Permalink",30 April 2018
RforFilm,"The Intern is a cute, even likable story about how elders may know more then you think It seems that in todays working world, the intern is the new entry-level job. Even with the great recession almost over, the millennial generation faces a new world of hard debt and technological competition. They also face a high number of equally qualified candidates that are more then willing to work for wage, and even for nothing, for the hope that they may receive an offer for a better job within the company their working for. My second job was also an intern position that paid nothing in exchange for experience. I didn't stay with the company, but I learned a lot about working in the Hollywood industry and even in an office environment.

Why are a lot of people willing to work for free? Perhaps with the way the economy is recovering, more companies cannot offer as many paying jobs, yet most people are still intrigued by having a particular business on their resume, with another thing to boast about. Who wouldn't want something like Amazon, Apple, or Google within their credentials? Tech businesses are the rage and everyone seems to be trying their hardest to get in just so they could say they were in. The Intern boasts it's own account of a trainee who may be a few years older, but just as able bodied and ambitious as the next guy.

Former phone book executive Ben Whittaker (played by Robert De Niro) has traveled the world and spent his retirement trying to relax and enjoy new hobbies like Tai Chi. Yet now that he is widower, he still feels empty. Rather then sulk, he takes a new kind of intern program that recruits seniors. His impressive resume and video resume lands him a job for a growing e-commerce fashion company that's in the same building that Ben had worked in for many years.

His boss is the positive, but still intimidating Jules Ostin (played by Anne Hathaway) who find that Ben has been assigned to her. At first, she assumes that he is too old to contribute a whole lot and give him easy work. Only when her chauffeur becomes drunk and Ben takes over that Jules starts to warm up. Ben engages further with her business and even with her family.

Jules in informed by her board that she should find someone else to act as C.E.O. for her company to make the business more professional as it had grown in such a fast eighteen months. Ben does his best to help Jules while she contemplates her decision.

On the surface, The Intern sounds like the kind of movie that would be easy to cater to older audiences with it's wholly positive attitude. For the most it is, but part of me enjoyed it a lot more then I thought I would. A lot of that has to do with Robert De Niro who still puts a lot into his role. It may be no Taxi Driver or Cape Fear, but he still seems to be saying a lot with how to relaxed the millennial generation has become.

Story wise, The Intern is nothing of a challenge; it's your nice story about the misunderstanding of someone's skills while making a friend. I'm still on board as the movie's tone relies on the nice chemistry that De Niro and Hathaway share. I'm really glad they don't attempt any hint of romance and keep them as friends. A racy art house movie might have taken on that notion, but director Nancy Meyers knew what her audience wanted. In short format, The Intern is a cute movie. It's likable and while not a hilarious movie, did manage to get a few laughs out of me.

I'll give this six and a half e-commerce sites out of ten. The Intern shouldn't have trouble finding an audience. It's charm should win most people over and maybe De Niro's points may get through to any young people watching.", 6/10,"26 out of 38 found this helpful. Was this review helpful? Sign in to vote.
Permalink",13 October 2015
patsworld,"The Intern is The Boss! Robert De Niro, as a retired 70 year old who re-enters the work force and proves beyond a shadow of a doubt that oldies are still goodies.also proves just why he is a star as he shines so bright in this movie as to be blinding. He is perfection. There are some actors that the older they get, the better they get, and De Niro is most certainly one. Anne Hathaway, as the genius behind a too-fast growing company is playing what I consider one of her best roles yet. And Rene Russo is still gorgeous as ever. I was impressed, also, by Anders Holm who played Hathaway's husband. But then, actually, I was impressed with everyone in this movie. There really wasn't a single thing or character I would change in this one, and that's saying something. The casting, the plot, the dialogueand fancy this, it was a funny, touching, enjoyable picture with NO foul language, NO overly-suggestive crude garbage that usually just makes the audience cringe. It was well written, well -acted, and well presented. All rare these days where just the writing ability seems to have dwindled into the dirt. This one is evidence that there are still writers and creators who have talent out there. More movie producers should make a point of seeking and finding them! This is a fun movie that you are going to be recommending to everyone within reading or hearing distance. One of the best films we've seen in some time and left us all smiling as we left the building.", 9/10,"89 out of 147 found this helpful. Was this review helpful? Sign in to vote.
Permalink",25 September 2015
karimhamamo160,"That kind of movie that makes your day This is my first review on the IMDb website and i have been a member for more that 9 years now, that's who much i loved this movie. It just give you that positive thoughts and energy within a lovely comedian scenario.

I loved how they mix between the classic culture with the modern one. It was very interesting to watch how they remind our generation about the habits which they are missing from the classic one.

De Niro and Anne Hathaway have excellent work chemistry. Director and camera teams made a great job too... Team work, thank you for this lovely movie...
421 out of 539 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 10/10,"421 out of 539 found this helpful. Was this review helpful? Sign in to vote.
Permalink",23 September 2015
Jerghal,"A 2 hour long commercial The Intern is a perfect example of the soulless crap Hollywood dares to crank out. De Niro plays a retired 70 year old who is bored to death and therefore seeks to work for free as an intern for a booming e-commerce company run by Ann Hathaway. The film feels like one big fat commercial (and it actually is). At this hipster e-com company everyone works on Macs, Ann drives an Audi, she lives in a residential hipster house. She drinks Stella Artois beer (they make sure you see the label), brand names are also dropped (lego, Netflix), other products are also clearly visible; Starbucks, Sony, Skype, Samsung,.. Even the music sounds like music from a commercial (not joking!). Al these 'people' in the movie are the examples of successful hipsters and the 'problems' they have are just first world problems. I also could not stand the characters: all these conflict avoiding, apologetic, overly helpful nitwits. If you see De Niro playing this cardboard character (it's written that way, he tries his best with it) it's hard to believe this was the guy who played in Taxi Driver. The Intern is also so Politically Correct it's sickening. You can feel being manipulated while watching this garbage. It felt like these subliminal messages in They Live. People should not have paid to see this, they should have been paid to spend 2 hours being pounded by this extensive commercial marinated in a forced 'feel good' message.", 5/10,"202 out of 378 found this helpful. Was this review helpful? Sign in to vote.
Permalink",3 January 2016
PWNYCNY,"One big cliché. Did anyone involved in making this movie really believe that this movie is good? This movie is so shallow that it makes a puddle look like an ocean. The idea of mixing a pompously acting Robert De Niro with a hysterically acting Anne Hathaway is an example of how not generate on-screen chemistry. Not that the acting is bad. It's the story. It's one ongoing cliché. It is a combination of dull, boring, and contrived. It's Father Knows Best meets I Love Lucy, except in this case the characters take themselves seriously. This movie manages to take several important social themes and reduce them to pulp, and even worse, reduce the principal characters to clichés. A bored older retiree with nothing but time and a manic young business woman. C'mon! Not exactly the cutting edge of literary originality. And what is worse, they are not funny characters. The supporting cast is funny, but they are not the principal players. Now the story has potential. The movie actually starts strongly. The De Niro character is introduced and his issues clearly presented. Then the movie tanks, and tanks quickly. A promising start leads to a contrived story and muddled finale. This movie reaffirms the old movie maxim - never judge a movie by its coming attractions.", 2/10,"79 out of 155 found this helpful. Was this review helpful? Sign in to vote.
Permalink",28 September 2015
CleveMan66,"""The Intern"" entertains like a seasoned professional. Sometimes you don't need a film to try and change the world, make bold political or societal statements or even be shocking. Sometimes it's good enough to be an audience member who can just sit back, relax and enjoy the show and smile. That's the kind of movie you get when you sit down to enjoy ""The Intern"" (PG-13, 2:01).

Robert DeNiro plays the title character, a retired 70 year-old widower who has become bored with his life. After 40 years in the business of printing telephone books and then losing his beloved wife of 42 years, he did his best to adjust to his new life, and it worked – for a while. He traveled the world and engaged in a wide variety of physical and intellectual pursuits to keep himself occupied, but it wasn't enough. When walking the streets of his native Brooklyn, he sees a flyer for a senior intern program at a young, but burgeoning internet clothing company. Ben feels that learning more about technology and working with young people feels like just the challenge he needs to occupy his mind and his time. He applies, via a terrific self-made video (the company's requirement), and sits through a series of amusing interviews with company employees young enough to be his grandchildren and he gets the internship.

Ben ends up working directly for the company's very capable, but over-extended founder, played by Anne Hathaway. The senior intern program was her idea, but Jules is initially hesitant to deal with Ben personally on a daily basis. She's a perfectionist who's constantly on the go. She's difficult to work for and she knows it. She loves and respects all 220 of her employees, but her motto might as well be ""If you want something done right, you have to do it yourself."" Yet, it's hard to resist Ben's earnestness, strong work ethic and wise, calming presence. After a little awkwardness as Ben and Jules both try to figure out how he can best serve his new boss, he ends up becoming her driver. In this capacity, he gets to know Jules' stay-at-home husband (Anders Holm), their precocious, but adorable young daughter (JoJo Kushner) and, most importantly, Jules herself, in all her earnestness, anxiety and vulnerability.

It turns out that, at this stage of the game, Jules needs Ben's wisdom and support more than she'd be willing to admit – to him or herself. Her company is growing so fast and she's so hands-on that one of her assistants (Andrew Rannells) tells her that the investors would like to see her take on a CEO. This would lighten her load, but it would also mean effectively giving control of her company to someone else. She half-heartedly interviews people to be her potential boss, not sure that this is the best move, but wanting to do right by her employees and her marriage, which is starting to suffer due to the demands of her very busy schedule. In the midst of all this, Ben becomes a sounding board and occasional advice dispenser for Jules, a very helpful co-worker and kind of pseudo uncle to a small group of the company's young employees (played by Adam DeVine, Zack Pearlman, Jason Orley and Christina Scherer) and a possible love interest for the company's full-time in-house masseuse (Rene Russo).

Ben is at the story's center, but it's the great mix of interesting characters and subplots that makes this movie so worthwhile. DeNiro has rarely been more pleasant to watch, or Hathaway so winning, as they lead an ensemble cast that complements each other wonderfully. Nancy Myers' amusing and purposeful script and direction highlight the virtues of women making the most of their lives, but never hits us over the head with her message. Jules is simply a modern woman who's very likable and subtly inspiring. A scene in which some of Jules' employees break the law to help her with a pressing personal problem is fun, but seems misplaced, and the resolutions to some of the story's conflicts seem a little trite, but, overall, this is simply a delightful film that I'd recommend to anyone. ""The Intern"" isn't perfect, but is definitely worth having around. ""A-""", 8/10,"45 out of 77 found this helpful. Was this review helpful? Sign in to vote.
Permalink",25 September 2015
chaplinman13,"Pretty funny, great story all can relate to no matter your age or sex. NOT a romance. I caught an advance screening of this last night. The theater was close to being packed with men, woman and children. The movie was surprisingly quite funny; didn't know anything about it before viewing. The entire theater ended up cracking up numerous times. There were various times I felt bad for De Niro's character, but he was optimistic and didn't let it effect him, so it was great. There were a couple of instances I would have never guessed things about the movie. There is one scenario in the story that is tough; what would you do if put in that circumstance. I believe ages 20-80 can relate to this movie. We had De Niro's aspect as well as Hathaway's. Good storyline. The ""Intern"" group of guys were funny too. I'd see this again.
120 out of 182 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 8/10,"120 out of 182 found this helpful. Was this review helpful? Sign in to vote.
Permalink",17 September 2015
magnuslhad,"vacuous You have to imagine Robert De Niro and Anne Hathaway have their pick of projects. They must have piles of scripts sent to them. And this is the one they choose to spend their time on? The only intrigue this film offers is pondering the 'why' of that question. An IT start up takes on senior citizen interns because... well, the reasons are never quite explained. The older guys mock 'tweets,' and not tucking your shirt in. The younger guys mock a lack of tech savvy. Among all this gentle (i.e. not funny) humour about generation gaps, a bawdy joke about an inappropriate erection appears. Then some bizarre break in and escape from the cops. Meanwhile, a successful woman will inevitably be betrayed by the man in her life, the narrative tells us. Trite, unreformed storyline with one-dimensional characters: what did this A-list cast see in the script? Does Nancy Meyers have incriminating negatives in a vault somewhere? Modern-day Hollywood genre filmmaking at its most putrid.", 1/10,"70 out of 129 found this helpful. Was this review helpful? Sign in to vote.
Permalink",15 March 2016
ferguson-6,"Cuddly and Feel-Good with some Laughs Greetings again from the darkness. A feel-good mainstream movie featuring two big time movie stars will likely have box office success and cause a lot of people to laugh out loud. In other words, the latest from writer/director Nancy Meyers should be celebrated for its entertainment value, rather than picked apart by film critics. OK, I'll give it a try.

Robert DeNiro stars as Ben Whittaker, a retired 70 year old widower, who just can't seem to find meaning in hobbies and the leisure life. He applies and is selected for the ""Senior Intern"" program at About the Fit, a fast-growing online clothing company run by its founder Jules Ostin (Anne Hathaway). In addition to being a Type A driven and obsessed with details company leader (the type that rides her bike through the office to save time), Jules also has a husband, a young daughter and a fabulous brownstone. What she doesn't have is enough sleep, any friends, or enough time to enjoy any of the good stuff. It's quite all right if a buddy flick with DeNiro and Hathaway seems unusual to you.

At the same time Ben arrives on the scene, Jules is struggling with her investors' decision to hire a more experienced CEO so that the company can maintain its phenomenal growth. That's about as deep as the business talk ever gets (but just try to keep track of all the Apple product placements). Jules initially spurns Ben, but of course, he soon becomes invaluable around the office, and while blinking his eyes, becomes her most valued confidant and adviser.

Much of the comedy is derived from Ben's interactions with the young employees. It's quite simply a 'generation gap comedy' that makes all the points it needs to make without really breaking a sweat: senior citizens are a wealth of knowledge and can bring value to an organization or relationship, young people can learn from elders (it's OK to shave everyday and dress for success)  and vice versa (computers are our friend), there still exists some animosity between stay at home moms and working moms, stay at home dads face challenges of their own, running a company is hard work both physically and mentally, communication often requires more than a text or email, and staying true to one's self is not always easy.

Ms. Meyers has brought us other mainstream films such as It's Complicated (2009) and Something's Gotta Give (2003), and she has a feel for presenting the upper-middle class as a punchline for the masses. She likes showing successful people in uncomfortable situations  leaning heavy on awkward, while avoiding dangerous altogether. Her latest is a feel good movie that makes you laugh, without causing you to think about anything in your life that might bring you down. And there is real value in that.

OK, I tried, but there are some things that must be pointed out. There was so much of Ms. Meyers' script that was begging to be pushed to the edge and analyzed from a societal aspect. Her specialty is rounding off the corners so that no one gets hurt, and because of that the film is bereft of conflict  the single most important element for a meaningful scene. For example, the conflict between Jules and her husband occurs in a hotel room, which would be fine except  only one of them is there! Also, we never really get any of the story from Ben's perspective. Instead, we are just to believe that his Gandhi-like influence on co-workers is the only reward he seeks. I also found myself bothered a bit in the quick glimpse we get into Ben's personal life. He blows off the advances of Linda Lavin and pursues Rene Russo  understandable, but a bit off-putting given that this female writer chose to have him hook up with the 11 years younger character, rather than the one closer to his own age. There are many other similar type issues that warrant discussion, but that's why it's best to just sit back and enjoy this one, rather than asking ""what if?""", 6/10,"21 out of 40 found this helpful. Was this review helpful? Sign in to vote.
Permalink",24 September 2015
